City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
362,Buala,SB,82.45,light rain,-8.145,159.5921,Maringe Lagoon Lodge
364,Mani,CO,86.86,broken clouds,4.8172,-72.2886,Hotel Belgrado
370,Novo Aripuana,BR,81.64,scattered clouds,-5.1206,-60.3797,Hotel Ezequiel
375,Mayo,US,80.6,clear sky,38.8876,-76.5119,Resorts Resource Group International
383,Jacksonville Beach,US,89.6,few clouds,30.2947,-81.3931,Courtyard by Marriott Jacksonville Beach Oceanfront
385,Shakawe,BW,72.75,broken clouds,-18.3667,21.85,Ditlhapi Guest House
388,Rio Grande,BR,77.0,light rain,-32.035,-52.0986,Hotel Atlântico Rio Grande
391,Olinda,BR,80.6,broken clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
394,Guane,CU,86.43,clear sky,22.2025,-84.0875,base de Campismo LosPortales de Guane
395,Kavieng,PG,81.39,moderate rain,-2.5744,150.7967,Nusa Island Retreat
398,Rockport,US,78.01,broken clouds,28.0206,-97.0544,Holiday Inn Express & Suites Rockport - Bay View
400,Takoradi,GH,80.33,broken clouds,4.8845,-1.7554,Raybow International Hotel
403,Ngerengere,TZ,71.6,moderate rain,-6.75,38.1167,
404,Jizan,SA,80.6,clear sky,17.3333,42.6667,شهدان. ابوالحجر
407,Wahiawa,US,80.6,broken clouds,21.5028,-158.0236,Aloha Wahiawa
409,Tomatlan,MX,86.2,overcast clouds,19.9333,-105.25,Norma franco
417,Paracatu,BR,74.8,scattered clouds,-17.2222,-46.8747,Hotel Paracatu Plaza
418,Tura,IN,71.64,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
419,Omboue,GA,78.06,broken clouds,-1.5746,9.2618,Hotel Olako
424,Katobu,ID,75.74,overcast clouds,-4.9408,122.5276,La Ode Husein
425,Virginia Beach,US,84.2,broken clouds,36.8529,-75.97800000000001,Hilton Virginia Beach Oceanfront
434,Mitu,CO,77.02,overcast clouds,1.1983,-70.1733,
435,Tombouctou,ML,75.22,clear sky,20.0,-3.0,
439,Nizwa,OM,76.46,clear sky,22.9333,57.5333,Orient Apartments
442,Saucillo,MX,83.12,clear sky,28.0167,-105.2833,Hotel La Posada de San Judas Tadeo
443,Lima,PE,75.2,clear sky,-12.0432,-77.0282,Gran Hotel Bolivar Lima
446,Andros Town,BS,82.4,scattered clouds,24.7,-77.7667,Hanks place
448,Makakilo City,US,80.6,scattered clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
449,Tlacotepec,MX,80.38,few clouds,20.0667,-97.8667,RANCHO LA ILUSION
456,Mitsamiouli,KM,82.42,clear sky,-11.3847,43.2844,Foyer ADM
458,Chazuta,PE,89.6,scattered clouds,-6.5742,-76.1367,Hospedaje Feliz Amanecer
462,Puerto Colombia,CO,87.8,clear sky,10.9878,-74.9547,El Hamakero De Conchi-Hostal
463,Kendari,ID,75.42,overcast clouds,-3.945,122.4989,Hotel Wixel
465,Wanning,CN,71.55,scattered clouds,18.8003,110.3967,Paradise Hotel
466,Paracuru,BR,80.01,overcast clouds,-3.41,-39.0306,Hotel Vento Brasil
469,Salalah,OM,78.8,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
473,Salinopolis,BR,73.85,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
474,Vilhena,BR,77.0,scattered clouds,-12.7406,-60.1458,Hotel Mirage
475,Pekalongan,ID,77.86,light rain,-6.8886,109.6753,Namira Syariah Hotel
477,Vallenar,CL,81.34,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
478,Huarmey,PE,74.66,few clouds,-10.0681,-78.1522,Hotel Miramar
480,Mareeba,AU,77.0,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
481,Abu Dhabi,AE,84.2,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
482,Alta Floresta,BR,89.6,scattered clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
483,Bowen,AU,73.4,scattered clouds,-20.0167,148.2333,Castle Motor Lodge Motel
484,Labuhan,ID,77.94,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
489,Ampanihy,MG,72.12,clear sky,-24.7,44.75,Angora Hotel
491,Araua,BR,82.4,scattered clouds,-11.2622,-37.6197,
492,Codajas,BR,82.31,scattered clouds,-3.8367,-62.0569,Hotel Tamires
497,Banjar,ID,78.8,few clouds,-8.19,114.9675,The Hamsa Resort
504,Vangaindrano,MG,72.84,moderate rain,-23.35,47.6,Hotel Fanilo
