City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
204,Jijiga,ET,9.35,42.8,64.8,51,46,6.51,scattered clouds
205,Sitka,US,57.0531,-135.33,41.0,87,90,5.46,light rain
206,Ko Samui,TH,9.5357,99.9357,82.87,75,25,10.02,scattered clouds
207,Kitgum,UG,3.2783,32.8867,73.02,62,87,6.35,overcast clouds
208,Jesus De Otoro,HN,14.4833,-87.9833,93.2,22,20,2.3,few clouds
209,Trairi,BR,-3.2778,-39.2689,74.93,89,100,6.04,overcast clouds
210,Kushiro,JP,42.975,144.3747,30.61,51,0,9.84,clear sky
211,Mehamn,NO,71.0357,27.8492,35.6,59,0,34.52,clear sky
212,Benalla,AU,-36.55,145.9833,57.2,94,75,3.44,light rain
213,Dunda,TZ,-8.1167,34.25,65.75,89,100,0.2,light rain
214,Malumfashi,NG,11.7853,7.6218,76.96,13,95,10.18,overcast clouds
215,Kalispell,US,48.1958,-114.3129,48.2,31,90,13.8,overcast clouds
216,Yar-Sale,RU,66.8333,70.8333,3.85,88,50,12.44,scattered clouds
217,Susehri,TR,40.1644,38.0867,19.83,88,87,5.23,overcast clouds
218,Bac Lieu,VN,9.285,105.7244,80.89,76,92,14.2,overcast clouds
219,Richards Bay,ZA,-28.783,32.0377,67.96,93,34,8.16,light rain
220,Vostok,RU,46.4856,135.8833,24.04,90,100,4.54,overcast clouds
221,Iquitos,PE,-3.7481,-73.2472,77.0,88,75,2.95,moderate rain
222,Barabai,ID,-2.5833,115.3833,73.76,98,100,1.57,light rain
223,Beringovskiy,RU,63.05,179.3167,0.28,91,100,13.96,overcast clouds
224,Moyale,KE,3.5167,39.0584,74.66,32,54,17.38,broken clouds
225,Cherskiy,RU,68.75,161.3,-16.47,97,99,5.53,overcast clouds
226,Primorsk,UA,46.7348,36.3443,37.94,83,91,4.56,overcast clouds
227,Haines Junction,CA,60.7522,-137.5108,28.4,59,100,4.61,light snow
228,Touros,BR,-5.1989,-35.4608,78.8,83,75,6.91,broken clouds
